tx_id,date,sender_address,receiver_address,moniker,token,amount,fee_token,fee_amount,test
076BA887CBECBA18C70FDFFDE43F68686F0654E6C1B174E9B621FF8B1C320318,2022-12-31 07:12:11 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1hr7svdp2rga9vf3ry95sx7g5wyspgwmg96vqg5,PFC - Panama Flower Company,uluna,3229,uluna,1951,false
076BA887CBECBA18C70FDFFDE43F68686F0654E6C1B174E9B621FF8B1C320318,2022-12-31 07:12:11 -0500 EST,terra1m7ksq9y7j6hycczv2kdsy6wrplrqppesmcv5zm,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,PFC - Panama Flower Company,uluna,5180,uluna,1500,false
F22FD371C2F5C860CA010C2CC831738FEE7D6FBB5025E85BFB781787AAE2146B,2022-12-31 07:08:34 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy," polkachu.com",uluna,600,uluna,250,false
F22FD371C2F5C860CA010C2CC831738FEE7D6FBB5025E85BFB781787AAE2146B,2022-12-31 07:08:34 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh," polkachu.com",uluna,1,uluna,599,false
80A74E0718013D408FDC2BBF25A6927D501E2E122FBE2F8BC6C328784E1EA1A9,2022-12-31 07:00:41 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh," polkachu.com",uluna,4,uluna,896,false
80A74E0718013D408FDC2BBF25A6927D501E2E122FBE2F8BC6C328784E1EA1A9,2022-12-31 07:00:41 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy," polkachu.com",uluna,900,uluna,250,false
8B971C1EDA0A560B133F6DA84EB967ED45567C66679595C50011156F647ADA6C,2022-12-31 04:23:56 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper10ge6t62gzesz378e09kkgqvx9ev7tf6xcsrqqu,Angel Protocol,uluna,1936,uluna,500,false
8B971C1EDA0A560B133F6DA84EB967ED45567C66679595C50011156F647ADA6C,2022-12-31 04:23:56 -0500 EST,terra1s7xcz0a8uastsw60uyk35gcn70gagcjmw7pnue,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Angel Protocol,uluna,2436,uluna,12500,false
BB18DD084A10BD6A205A4A4A1FCE6FA06FF99A3FD06AA6190D4E1336D340FBBE,2022-12-31 03:49:42 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1e4sju9ya52l8ndjcneut4hg52y228360j0w86r,syncnode,uluna,0,uluna,0,false
BB18DD084A10BD6A205A4A4A1FCE6FA06FF99A3FD06AA6190D4E1336D340FBBE,2022-12-31 03:49:42 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,syncnode,uluna,0,uluna,0,false
FA8D479B46AE8BB05F66B48F6FB4DE564BE54D3EE90405FF397188EE5F1CB075,2022-12-31 02:39:07 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1wwq9mfkkqfta334d4hcjrjau9y50a4hw37zhdl,StakeWithUs,uluna,1,uluna,599,false
FA8D479B46AE8BB05F66B48F6FB4DE564BE54D3EE90405FF397188EE5F1CB075,2022-12-31 02:39:07 -0500 EST,terra19qumnlx5yly30ny3xaavrjwwnlq4335g995r3m,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,StakeWithUs,uluna,600,uluna,250,false
9D4E84BD2DD1368C55FF796BEB9A5AA22367E099CE40AD432EA7744BB7C8AD27,2022-12-31 02:14:47 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy," polkachu.com",uluna,10006,uluna,2033,true
9D4E84BD2DD1368C55FF796BEB9A5AA22367E099CE40AD432EA7744BB7C8AD27,2022-12-31 02:14:47 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1rr2g4z2ch4cqwl8s70yj94a5l2vakg0v36nmjh," polkachu.com",uluna,95,uluna,9911,true
FCBEC8E438043D735B89C13017CDE21BE3152CDE8A54B6117800EFFA992BD560,2022-12-31 02:14:23 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1ge3vqn6cjkk2xkfwpg5ussjwxvahs2f6at87yp,coinhall.org,uluna,4754,uluna,5254,true
FCBEC8E438043D735B89C13017CDE21BE3152CDE8A54B6117800EFFA992BD560,2022-12-31 02:14:23 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,coinhall.org,uluna,10008,uluna,2094,true
911837BB2DE083A161AEC6B555E62C120915C32CA997FC58523582BD57C7699B,2022-12-31 02:13:59 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1puzp2yjqps43x7nse33svljc550xjz35jxg432,Pro-Nodes75,uluna,2377,uluna,7631,true
911837BB2DE083A161AEC6B555E62C120915C32CA997FC58523582BD57C7699B,2022-12-31 02:13:59 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Pro-Nodes75,uluna,10008,uluna,2018,true
A870D0223C09020E8A9237E2C5C8BA9F17A36F37CA0671C8D105F9E23458380C,2022-12-31 02:13:06 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Gidorah,uluna,10006,uluna,2013,true
A870D0223C09020E8A9237E2C5C8BA9F17A36F37CA0671C8D105F9E23458380C,2022-12-31 02:13:06 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper13qjxhnw98lm36rxc9yjakkmulhpv7zctdhcl03,Gidorah,uluna,9410,uluna,596,true
29F925D67B434706FB2E85127AFC254CA76A08E1FE846DCAB34FF874F4DB89A5,2022-12-31 02:13:00 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Orbital Command,uluna,0,uluna,0,true
29F925D67B434706FB2E85127AFC254CA76A08E1FE846DCAB34FF874F4DB89A5,2022-12-31 02:13:00 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1lelhxdzwn9ddecv6sv0kcxj5tguurxnzcfs5wf,Orbital Command,uluna,0,uluna,0,true
